,int,(,{,if,+,-,*,/,==,!=,<,>,<=,>=,),},else,$
E,E → C E',E → C E',E → C E',E → C E',,,,,,,,,,,,,,
E',,,,,E' → + C E',E' → - C E',,,,,,,,,E' → ε,E' → ε,E' → ε,E' → ε
C,C → F C',C → F C',C → F C',C → F C',,,,,,,,,,,,,,
C',,,,,,,,,C' → == F C',C' → != F C',C' → < F C',C' → > F C',C' → <= F C',C' → >= F C',C' → ε,C' → ε,C' → ε,C' → ε
F,F → T F',F → T F',F → T F',F → T F',,,,,,,,,,,,,,
F',,,,,,,F' → * T F',F' → / T F',,,,,,,F' → ε,F' → ε,F' → ε,F' → ε
T,T → int,T → ( E ),T → B,T → I,,,,,,,,,,,,,,
B,,,B → { E },,,,,,,,,,,,,,,
I,,,,I → if ( E ) B L,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,L → else B,L → ε
